lam,expected_profit,var_profit_a0.90,cvar_profit_a0.90,imp_fs_total,spot_bind_freq,spot_used_avg,T_FCC_D,T_FCC_G,T_HC,T_VR,T_REF
0.0,5839.292241013671,687.9958959040772,-88.97424674398502,12.219780219780219,0.03,0.19780219780219782,56.25,0.0,48.22677322677321,61.53846153846153,31.375833738751957
0.3,5832.095708602351,1037.3709135793174,483.5977765005056,13.799121629130727,0.03,0.18200878370869275,56.25,0.0,54.42927767076793,72.59385140391505,27.706253455694647
1.0,5831.909334286995,1037.7877535304094,483.89440337079327,13.797403906390851,0.03,0.18202596093609166,55.00832907837903,0.7095262409262699,54.82244649543879,72.58182734473583,27.76633646119987
3.0,5831.909334286989,1037.7877535304108,483.8944033707904,13.797403906390834,0.03,0.18202596093609166,55.00832907837913,0.7095262409262131,54.82244649543879,72.58182734473584,27.76633646119987
