lam,oracle_expected_profit,oracle_cvar_profit,ml_expected_profit,ml_cvar_profit,gap_expected_profit,gap_cvar_profit,time_oracle_s,time_ml_s
0.0,5707.182353249436,5117.255632002212,5563.5288302694735,5044.06090203613,-143.65352297996287,-73.19472996608238,1.957854986190796,0.6253502368927002
0.1,5707.182353249435,5117.255632002212,5563.465746456673,5044.005404378399,-143.71660679276283,-73.25022762381286,1.7443509101867676,0.7300775051116943
0.25,5612.76259723032,5034.453445988702,5563.370649690047,5043.921681646642,-49.39194754027358,9.468235657940568,1.6502184867858887,0.757427453994751
0.5,5527.741730191203,4938.538784335666,5563.210898266329,5043.780873079507,35.46916807512662,105.24208874384112,1.7096867561340332,0.509660005569458
0.75,5510.930359169705,4917.26879523487,5563.049574710927,5043.638475033126,52.11921554122182,126.36967979825658,1.712357759475708,0.6963975429534912
1.0,5510.930359169704,4917.268795234868,5562.88667773498,5043.49448620442,51.95631856527598,126.22569096955249,1.8548269271850586,0.593785285949707
1.5,5505.536221721539,4913.083713355381,5562.556158359078,5043.201730980686,57.019936637539104,130.11801762530467,1.6609437465667725,0.538881778717041
2.0,5505.536221721538,4913.0837133553805,5562.21932979968,5042.902596955279,56.68310807814214,129.81888359989807,1.5498943328857422,0.5679354667663574
3.0,5505.536221721539,4913.083713355382,5561.490851004857,5042.245995697944,55.954629283318354,129.1622823425614,1.5500531196594238,0.5503084659576416
5.0,5488.024971791792,4892.445491123835,5559.924041562045,5040.818998370689,71.89906977025294,148.37350724685348,1.73990797996521,0.6197323799133301
7.5,5484.2364389626955,4888.53039634272,5556.023470131832,4975.352450775266,71.78703116913675,86.82205443254588,1.6076221466064453,0.5325562953948975
10.0,5484.236438962695,4888.5303963427195,5544.822287513088,4963.098156729792,60.585848550393166,74.56776038707267,1.5401268005371094,0.5137920379638672
